METRO_KEY,COUNTRY,REGIONS,METRO_NAME
-1,?,?,not metroized
0,?,?,no metro
500,usa,me-nh,portland-auburn
501,usa,ct-nj-ny-pa,new york
502,usa,ny,binghamton
503,usa,ga,macon
504,usa,de-nj-pa,philadelphia
505,usa,mi,detroit
506,usa,ma-nh-vt,boston (manchester)
507,usa,ga-sc,savannah
508,usa,md-pa-wv,pittsburgh
509,usa,in-oh,ft. wayne
510,usa,oh,cleveland-akron (canton)
511,usa,dc-md-pa-va-wv,washington, dc (hagrstwn)
512,usa,md,baltimore
513,usa,mi,flint-saginaw-bay city
514,usa,ny-pa,buffalo
515,usa,in-ky-oh,cincinnati
516,usa,pa,erie
517,usa,nc-sc,charlotte
518,usa,nc-va,greensboro-h.point-w.salem
519,usa,sc,charleston, sc
520,usa,ga-sc,augusta-aiken
521,usa,ma-ri,providence-new bedford
522,usa,al-ga,columbus, ga (opelika, al)
523,usa,nh-ny-vt,burlington-plattsburgh
524,usa,al-ga-nc,atlanta
525,usa,ga,albany, ga
526,usa,ny,utica
527,usa,in,indianapolis
528,usa,fl,miami-ft. lauderdale
529,usa,in-ky,louisville
530,usa,fl-ga,tallahassee-thomasville
531,usa,ky-tn-va,tri-cities, tn-va
532,usa,ma-ny-vt,albany-schenectady-troy
533,usa,ct,hartford & new haven
534,usa,fl,orlando-daytona bch-melbrn
535,usa,oh,columbus, oh
536,usa,oh-pa,youngstown
537,usa,me,bangor
538,usa,ny,rochester, ny
539,usa,fl,tampa-st. pete (sarasota)
540,usa,mi,traverse city-cadillac
541,usa,ky,lexington
542,usa,in-oh,dayton
543,usa,ma,springfield-holyoke
544,usa,nc-va,norfolk-portsmth-newpt nws
545,usa,nc,greenville-n.bern-washngtn
546,usa,sc,columbia, sc
547,usa,mi-oh,toledo
548,usa,fl,west palm beach-ft. pierce
549,usa,ny,watertown
550,usa,nc,wilmington
551,usa,mi,lansing
552,usa,me,presque isle
553,usa,mi-wi,marquette
554,usa,oh-wv,wheeling-steubenville
555,usa,ny,syracuse
556,usa,va,richmond-petersburg
557,usa,ky-tn,knoxville
558,usa,oh,lima
559,usa,va-wv,bluefield-beckley-oak hill
560,usa,nc-va,raleigh-durham (fayetvlle)
561,usa,fl-ga,jacksonville
563,usa,mi,grand rapids-kalmzoo-b.crk
564,usa,ky-oh-wv,charleston-huntington
565,usa,ny-pa,elmira (corning)
566,usa,pa,harrisburg-lncstr-leb-york
567,usa,ga-nc-sc,greenvll-spart-ashevll-and
569,usa,va-wv,harrisonburg
570,usa,nc-sc,myrtle beach-florence
571,usa,fl,ft. myers-naples
573,usa,va-wv,roanoke-lynchburg
574,usa,pa,johnstown-altoona-st colge
575,usa,ga-nc-tn,chattanooga
576,usa,de-md,salisbury
577,usa,pa,wilkes barre-scranton
581,usa,il-in,terre haute
582,usa,in,lafayette, in
583,usa,mi,alpena
584,usa,va,charlottesville
588,usa,in-mi,south bend-elkhart
592,usa,fl,gainesville
596,usa,oh,zanesville
597,usa,oh-wv,parkersburg
598,usa,wv,clarksburg-weston
600,usa,tx,corpus christi
602,usa,il-in,chicago
603,usa,ks-mo-ok,joplin-pittsburg
604,usa,mo,columbia-jefferson city
605,usa,ks,topeka
606,usa,al-fl-ga,dothan
609,usa,il-mo,st. louis
610,usa,il,rockford
611,usa,ia-mn,rochestr-mason city-austin
612,usa,ar-la-ok-tx,shreveport
613,usa,mn-wi,minneapolis-st. paul
616,usa,ks-mo,kansas city
617,usa,wi,milwaukee
618,usa,tx,houston
619,usa,ar-mo,springfield, mo
622,usa,la-ms,new orleans
623,usa,tx,dallas-ft. worth
624,usa,ia-ne-sd,sioux city
625,usa,tx,waco-temple-bryan
626,usa,tx,victoria
627,usa,ok-tx,wichita falls & lawton
628,usa,ar-la,monroe-el dorado
630,usa,al,birmingham (ann and tusc)
631,usa,ia-mo,ottumwa-kirksville
632,usa,il-ky-mo-tn,paducah-cape girard-harsbg
633,usa,nm-tx,odessa-midland
634,usa,nm-ok-tx,amarillo
635,usa,tx,austin
636,usa,tx,harlingen-wslco-brnsvl-mca
