COUNTRY,REGION,REGION-DESC,REGION-CODE
chl,ll,los lagos,11625
chl,ma,magallanes,11627
chl,ml,maule,11620
chl,rm,region metro de santiago,2998
chl,ta,tarapaca,11621
chl,vs,valparaiso,11623
chn,11,beijing,10664
chn,12,tianjin,10666
chn,13,hebei,10667
chn,14,shanxi,10673
chn,15,nei mongol zizhiqu,15967
chn,21,liaoning,10680
chn,22,jilin,10687
chn,23,heilongjiang,10692
chn,31,shanghai,10698
chn,32,jiangsu,10699
chn,33,zhejiang,10705
chn,34,anhui,10712
chn,35,fujian,10717
chn,36,jiangxi,10724
chn,37,shandong,10729
chn,41,henan,10741
chn,42,hubei,10753
chn,43,hunan,10762
chn,44,guangdong,10770
chn,45,guangxi,10784
chn,46,hainan,10788
chn,50,chongqing,10789
chn,51,sichuan,10790
chn,52,guizhou,12391
chn,53,yunnan,10794
chn,54,xizang,10796
chn,61,shaanxi,10797
chn,62,gansu,10801
chn,63,qinghai,10804
chn,64,ningxia,10805
chn,65,xinjiang,10806
chn,?,china,388
chn,aol,aol,23818
civ,?,cote d ivoire,506
civ,no region,cote d ivoire,6432
cmr,?,cameroon,2365
cmr,no region,cameroon,11636
cod,?,congo - the democratic rep of,5074
cod,no region,congo - the democratic rep of,14646
cog,?,congo,14323
cog,no region,congo,15837
cok,?,cook islands,562
cok,no region,no region,24791
col,?,colombia,178
col,ama,amazonea,24918
col,ant,antioquia,11641
col,ara,arauca,24917
col,atl,atlantico,11637
col,bol,bolivar,11640
col,boy,boyaca,24910
col,cal,caldas,6435
col,caq,caqueta,24914
col,cas,casanare,24316
col,cau,cauca,24911
col,ces,cesar,24912
col,cho,choco,24916
col,cor,cordoba,23889
col,cun,cundimarca,19762
col,dc,distrito capital,11638
col,gua,guainia,24960
col,guv,guaviare,24961
col,hui,huila,11644
col,lag,la guajira,24913
col,mag,magdalena,23861
col,met,meta,23765
col,nar,narino,11645
col,nsa,norte de santander,23959
col,put,putumayo,19764
col,qui,quindio,24627
col,ris,risaralda,11646
col,san,santander,11639
col,sap,san andres,24915
col,suc,sucre,23908
col,tol,tolima,14647
col,vac,valle del cauca,11647
col,vau,vaupes,24962
col,vid,vichada,24963
com,?,comoros,181
com,g,grande comore ngazidja,23829
cpv,?,cape verde,2664
cpv,no region,cape verde,23827
cri,?,costa rica,529
cri,no region,costa rica,803
cub,?,cuba,575
cub,no region,cuba,11654
cuw,?,curacao,25128
cuw,no region,curacao,25127
cxr,?,christmas island,182
cym,?,cayman islands,358
cym,no region,cayman islands,6459
cyp,01,lefkosia,24964
cyp,02,lemesos,12397
cyp,03,larnaca,15840
cyp,04,ammochostos magusa,23820
cyp,05,paphos,15841
cyp,06,keryneia,24317
cyp,?,cyprus,229
cze,?,czech republic,221
cze,jc,jihocesky kraj,25006
cze,jm,jihomoravsky kraj,25007
cze,ka,karlovarsky kraj,25008
cze,kr,kralovehradecky kraj,25009
cze,li,liberecky kraj,25010
cze,mo,moravskoslezsky kraj,25011
cze,ol,olomoucky kraj,25012
cze,pa,pardubicky kraj,25013
cze,pl,plzensky kraj,25014
cze,pr,praha,25015
cze,st,stredocesky kraj,25016
cze,us,ustecky kraj,25017
cze,vy,vysocina,25018
cze,zl,zlinsky kraj,25019
deu,?,germany,70
deu,aol,aol,20332
deu,be,berlin,10383
deu,br,brandenburg,10385
deu,bw,baden-wurttemberg,719
deu,by,bayern,10436
deu,hb,bremen,10477
deu,he,hessen,10478
deu,hh,hamburg,10502
deu,mv,mecklenburg-vorpommern,10503
deu,ni,niedersachsen,10508
deu,nw,nordrhein-westfalen,10528
deu,rp,rheinland-pfalz,10591
deu,sh,schleswig-holstein,10608
deu,sl,saarland,10618
deu,sn,sachsen,10621
deu,st,sachsen-anhalt,10631
deu,th,thuringen,10633
dji,?,djibouti,507
dji,no region,djibouti,23832
dma,?,dominica,574
dma,no region,dominica,6774
dnk,81,nordjylland,25020
dnk,82,midtjylland,25021
dnk,83,syddanmark,25022
dnk,84,hovedstaden,25023
dnk,85,sjaelland,25024
dnk,?,denmark,82
dom,?,dominican republic,569
dom,no region,dominican republic,11723
dza,?,algeria,505
dza,no region,algeria,6798
ecu,?,ecuador,528
ecu,a,azuay,11725
ecu,b,bolivar,24763
ecu,c,carchi,24941
ecu,e,esmeraldas,24765
ecu,f,canar,24936
ecu,g,guayas,11726
ecu,h,chimborazo,24934
ecu,i,imbabura,24943
ecu,l,loja,11727
ecu,m,manabi,11728
ecu,n,napo,24942
ecu,o,el oro,23841
ecu,p,pichincha,11730
ecu,r,los rios,24935
ecu,s,morona-santiago,24939
ecu,t,tungurahua,11724
ecu,u,sucumbios,24938
ecu,w,galapagos,24311
ecu,x,cotopaxi,24937
ecu,y,pastaza,24764
