ASN,ORGANIZATION
132,754th electronic systems group
133,754th electronic systems group
134,fleet analysis center
135,dod network information center
136,754th electronic systems group
137,garr italian academic and research network
138,dod network information center
139,navy network information center
140,dod network information center
141,navy network information center
142,headquarters usaisc
143,1881csxpc
144,lucent technologiesbell laboratories
145,mci communications corporation
146,754th electronic systems group
147,navy network information center
148,navy network information center
149,dod network information center
150,navy network information center
151,hewlett-packard company
152,sri international
153,headquarters usaisc
154,headquarters usaisc
155,dod network information center
156,northeastern university
157,silicon graphics international corporation
158,ericsson network systems inc.
159,the ohio state university
160,university of chicago
161,texas instruments inc.
162,navy network information center
163,ibm almaden research center
164,dod network information center
165,dod network information center
166,institute for defense analyses
167,wesleyan university
168,university of massachusetts
169,754th electronic systems group
170,dod network information center
171,reserved
172,headquarters usaisc
173,electrical communications laboratories
174,cogent communications
175,754th electronic systems group
176,information systems and networks corporation
177,university of michigan
178,university of michigan
179,university of michigan
180,university of michigan
181,merit network inc.
182,merit network inc.
183,merit network inc.
184,merit network inc.
185,merit network inc.
186,the catholic university of america
187,reserved
188,science applications international corporation
189,level 3 communications inc.
190,navy network information center
191,navy network information center
192,rochester institute of technology
193,lockheed martin western development labs
194,university corporation for atmospheric research
195,san diego supercomputer center
196,rockwell scientific company
197,raytheon company
198,dod network information center
199,level 3 communications inc.
200,level 3 communications inc.
201,level 3 communications inc.
202,level 3 communications inc.
203,level 3 communications inc.
204,pittsburgh supercomputing center
205,montclair state university
206,computer sciences corporation
207,computational logic inc.
208,navy network information center
209,qwest communications company llc
210,utah education network
211,rome air development center
212,headquarters air force systems command
213,headquarters usaisc
214,navy network information center
215,headquarters usaisc
216,754th electronic systems group
217,university of minnesota
218,754th electronic systems group
219,navy network information center
220,754th electronic systems group
221,754th electronic systems group
222,754th electronic systems group
223,sparta inc.
224,uninett the norwegian university research network
225,university of virginia
226,los nettos
227,headquarters usaisc
228,navy network information center
229,merit network inc.
230,merit network inc.
231,merit network inc.
232,merit network inc.
233,merit network inc.
234,blackrose society
235,merit network inc.
236,merit network inc.
237,merit network inc.
238,merit network inc.
239,university of toronto
240,754th electronic systems group
241,754th electronic systems group
242,supship
243,harris government systems sector
244,dod network information center
245,planning research corporation
246,754th electronic systems group
247,rome air development center
248,icevpn-as
249,as249
250,as250.net foundation project
251,future in question
252,headquarters usaisc
253,ntt america inc.
254,the wollongong group
255,754th electronic systems group
256,navy network information center
257,navy network information center
258,headquarters usaisc
259,scubed
260,advanced information technology services llc
261,fr
262,ntt america inc.
263,ntt america inc.
264,sri international
265,advanced info. technology servcies
266,reserved
267,nether.net
268,uniformed services university of the health sciences
269,incremental systems corporation
270,national aeronautics and space administration
271,bcnet
272,headquarters usaisc
273,dod network information center
274,advanced information technology services llc
275,ntt america inc.
276,university of texas system
277,computer sciences corporation
278,red academica de mexico
279,level 3 communications inc.
280,ntt america inc.
281,level 3 communications inc.
282,merit technology inc.
283,reserved
284,mci communications services inc. dba verizon business
285,headquarters usaisc
286,kpn internet backbone
287,navy network information center
288,european space agency co christoph kroell darmstadt d-64293 de
289,headquarters usaisc
290,interop show network
291,esnet
292,esnet
293,esnet
294,institut national de recherche en informatique et automatique
295,navy network information center
296,754th electronic systems group
297,national aeronautics and space administration
298,754th electronic systems group
299,university of california irvine
300,dod network information center
301,754th electronic systems group
302,baylor college of medicine
303,dod network information center
304,sri international
305,headquarters usaisc
306,dod network information center
307,dod network information center
308,dod network information center
309,dod network information center
310,dod network information center
311,dod network information center
312,dod network information center
313,dod network information center
314,dod network information center
315,dod network information center
316,dod network information center
317,dod network information center
318,dod network information center
319,dod network information center
320,dod network information center
321,dod network information center
322,dod network information center
323,dod network information center
324,dod network information center
325,dod network information center
326,dod network information center
327,dod network information center
328,dod network information center
329,dod network information center
330,dod network information center
331,dod network information center
332,dod network information center
333,dod network information center
334,dod network information center
335,dod network information center
336,dod network information center
337,dod network information center
338,dod network information center
339,dod network information center
340,dod network information center
341,dod network information center
342,dod network information center
343,dod network information center
344,dod network information center
345,dod network information center
346,dod network information center
347,dod network information center
348,dod network information center
349,dod network information center
350,dod network information center
351,dod network information center
352,dod network information center
353,dod network information center
354,dod network information center
355,dod network information center
356,dod network information center
357,dod network information center
358,dod network information center
359,dod network information center
360,dod network information center
361,dod network information center
362,dod network information center
363,dod network information center
364,dod network information center
365,dod network information center
366,dod network information center
367,dod network information center
368,dod network information center
369,dod network information center
370,dod network information center
371,dod network information center
372,national aeronautics and space administration
373,the mitre corporation
374,754th electronic systems group
375,finnish state computer centre
376,reseau d informations scientifiques du quebec
377,sandia national laboratories
378,ilan
379,754th electronic systems group
380,754th electronic systems group
381,754th electronic systems group
382,754th electronic systems group
383,754th electronic systems group
384,754th electronic systems group
385,754th electronic systems group
386,754th electronic systems group
387,754th electronic systems group
388,754th electronic systems group
389,754th electronic systems group
390,754th electronic systems group
391,754th electronic systems group
392,754th electronic systems group
393,754th electronic systems group
394,754th electronic systems group
395,754th electronic systems group
396,754th electronic systems group
397,754th electronic systems group
398,754th electronic systems group
399,754th electronic systems group
400,754th electronic systems group
401,754th electronic systems group
402,754th electronic systems group
403,754th electronic systems group
404,754th electronic systems group
405,754th electronic systems group
406,754th electronic systems group
407,754th electronic systems group
408,754th electronic systems group
409,754th electronic systems group
410,754th electronic systems group
411,754th electronic systems group
412,754th electronic systems group
413,754th electronic systems group
414,754th electronic systems group
415,754th electronic systems group
416,754th electronic systems group
417,754th electronic systems group
418,754th electronic systems group
419,754th electronic systems group
420,754th electronic systems group
421,754th electronic systems group
422,754th electronic systems group
423,754th electronic systems group
424,754th electronic systems group
425,754th electronic systems group
426,754th electronic systems group
427,754th electronic systems group
428,754th electronic systems group
429,754th electronic systems group
430,754th electronic systems group
431,754th electronic systems group
432,754th electronic systems group
433,754th electronic systems group
434,754th electronic systems group
435,754th electronic systems group
436,754th electronic systems group
437,754th electronic systems group
438,754th electronic systems group
439,754th electronic systems group
440,754th electronic systems group
441,754th electronic systems group
442,754th electronic systems group
443,754th electronic systems group
444,754th electronic systems group
445,754th electronic systems group
446,754th electronic systems group
447,754th electronic systems group
448,754th electronic systems group
449,754th electronic systems group
450,754th electronic systems group
451,754th electronic systems group
452,754th electronic systems group
453,754th electronic systems group
454,754th electronic systems group
455,754th electronic systems group
456,754th electronic systems group
457,754th electronic systems group
458,754th electronic systems group
459,754th electronic systems group
460,754th electronic systems group
461,754th electronic systems group
462,754th electronic systems group
463,754th electronic systems group
464,754th electronic systems group
465,754th electronic systems group
466,754th electronic systems group
467,754th electronic systems group
468,754th electronic systems group
469,754th electronic systems group
470,754th electronic systems group
471,754th electronic systems group
472,754th electronic systems group
473,754th electronic systems group
474,754th electronic systems group
475,754th electronic systems group
476,754th electronic systems group
477,754th electronic systems group
478,754th electronic systems group
479,754th electronic systems group
480,754th electronic systems group
481,754th electronic systems group
482,754th electronic systems group
483,754th electronic systems group
484,754th electronic systems group
485,754th electronic systems group
486,754th electronic systems group
487,754th electronic systems group
488,754th electronic systems group
489,754th electronic systems group
490,754th electronic systems group
491,754th electronic systems group
492,754th electronic systems group
493,754th electronic systems group
494,754th electronic systems group
495,754th electronic systems group
496,754th electronic systems group
497,754th electronic systems group
498,754th electronic systems group
499,754th electronic systems group
500,754th electronic systems group
501,754th electronic systems group
502,754th electronic systems group
503,754th electronic systems group
504,754th electronic systems group
505,754th electronic systems group
506,754th electronic systems group
507,754th electronic systems group
508,754th electronic systems group
509,dod network information center
510,ing investment management
511,tcoombs associates llc
512,dod network information center
