ASN,ORGANIZATION
8116,guidant corporation
8117,daily racing form
8118,maaznet directory services
8119,data transmission network corporation
8120,bestweb corporation
8121,tch network services
8122,duquesne university
8123,polybase
8124,tumbleweed internet hub
8125,cyberport llc
8126,kentrox inc.
8127,connectexpress
8128,uol publishing inc
8129,cai wireless systems inc.
8130,inficad computing and design llc.
8131,pep boys
8132,entex information services
8133,cybercom corporation
8134,baraga telephone company
8135,troy university
8136,internet financial systems inc.
8137,disney online
8138,jade inc.
8139,racal data group
8140,instituto federal electoral
8141,tba informatica ltda.
8142,eaglequest inc.
8143,neuraliq
8144,worldnow online
8145,trans-atlantic communications
8146,global networking and computing
8147,ericsson inc.
8148,ties
8149,abacus group llc
8150,mobile public school system
8151,uninet s.a. de c.v.
8152,broderbund networks
8153,nortel
8154,gulf telephone company
8155,the link
8156,integrated network technologies inc.
8157,internet connection usa
8158,lgs innovations llc
8159,kansasnet fox business systems
8160,rogers cable communications inc.
8161,insight direct usa inc.
8162,az digital enterprises inc.
8163,metrotel redes s.a.
8164,juno online services l.p.
8165,databoss inc
8166,prismnet inc.
8167,telesc - telecomunicacoes de santa catarina sa
8168,ravenet systems inc.
8169,ameritech access indiana
8170,microage computer centers inc.
8171,enet inc.
8172,mti internet services
8173,reserved
8174,maui high performance computing center
8175,high speed webgenesis 2 networks
8176,netscape
8177,qadas inc.
8178,aki s.a.
8179,stanford federal credit union
8180,v2 ventures llc
8181,virtual communications inc.
8182,digital river inc.
8183,internetsecure inc.
8184,laffite morgan assoc
8185,terry hines and associates
8186,high plains internet
8187,bell aliant regional communications inc.
8188,bloomberg financial market
8189,stratos internet group inc.
8190,viatel
8191,widomaker communication services inc.
8192,telematika ltd
8193,uzpak net
8194,vas latvijas valsts radio un televizijas centrs
8195,as8195
8196,claranet deutschland gmbh
8197,neonet
8198,sknet
8199,earthport.com plc vaduz liechtenstein
8200,commercial networks
8201,xs4all belgium nv
8202,intracity ltd
8203,bezeq international-ltd
8204,deutsche telekom ag
8205,city netgates ltd
8206,juniknet autonomous system
8207,private joint stock company datagroup
8208,teamware gmbh
8209,upc netherlands - autonomous system
8210,telenor norge as
8211,rabobank ict autonomous system
8212,compulink network s.a.
8213,tdc sverige ab
8214,institute of informatics and applied mathematics
8215,euronet internet bv
8216,soluziona consultoria y tecnologia
8217,eni s.p.a. - roma
8218,neotelecoms global backbone
8219,ic expert company limited
8220,colt technology services group limited
8221,isabel-belgium
8222,netplace telematic gmbh
8223,exitec gmbh
8224,intercom s.r.l.
8225,astelit autonomous system
8226,armenia network information center
8227,telenet n.v.
8228,societe francaise du radiotelephone s.a
8229,kibernet ltd.
8230,pe semantika
8231,sunrise communications ag
8232,gxs emea as number
8233,telianet uk
8234,rai radiotelevisione italiana
8235,.
8236,tdc oy finland
8237,dataway gmbh zurich switzerland
8238,at&t vas it
8239,arrakis servicios y comunicaciones s.l.
8240,aso autonomous system
8241,cjsc relline
8242,laboratoria sovremennyh technologii cjsc
8243,verizon switzerland ag
8244,telecom italia sparkle
8245,video-broadcast gmbh
8246,gts poland sp. z o.o.
8247,rsl com schweiz ag
8248,greek high-school internet network
8249,cjsc togliatti telecom
8250,zetnet services
8251,freetel s.r.o.
8252,ans uk ltd.
8253,democritus university of thrace
8254,llc business solutions
8255,euro-information-europeenne de traitement de l information sas
8256,metropolitan area network lodman
8257,slovanet a.s.
8258,elektronni visti ltd
8259,d2 direct internet provider
8260,sc memo network srl
8261,archway s.r.l
8262,lirex net eood
8263,cjsc synterra
8264,vizada networks ip network
8265,fastnet s.p.a.
8266,nexus telecommunications ltd
8267,metropolitan area network autonomous system
8268,troitsk scientific center
8269,tv kupol
8270,raiffeisen banka ad beograd
8271,.
8272,netscalibur uk ltd
8273,verdo tele as
8274,alpes networks technology
8275,kerszov computer ltd.
8276,roguepacket networks
8277,online breedband b.v.
8278,technical university of crete
8279,strategiya ltd.
8280,synapsecom s.a
8281,hellenic republic - ministry of foreign affairs
8282,fidonet registration services ltd
8283,netwerkvereniging coloclue amsterdam netherlands
8284,global one communications
8285,versia ltd
8286,aci automous system
8287,pe mykola vitalievich tabakov
8288,gts slovakia a.s.
8289,dataphone sweden ab
8290,entrynet autonomous system
8291,rsnet
8292,camdata gmbh
8293,mc-link spa
8294,fornax ltd.
8295,piraeus banka a.d. beograd
8296,h bauer publishing ltd
8297,teleglobe america inc.
8298,ipv6 ghost route hunter project
8299,infotel network autonomous system
8300,swisscom ltd
8301,www.gibtele.com
8302,zatto europe ltd.
8303,westdeutscher rundfunk koeln
8304,ecritel company
8305,insat autonomous system
8306,s.c. logicnet solution s.r.l
8307,telekom slovenije d.d.
8308,nask research and academic computer networks
8309,sipartech sarl
8310,pacwan
8311,redestel networks s.l.
8312,zylon internet services vof
8313,sparknet as
8314,lrytas autonomous system
8315,argeweb b.v.
8316,telenor czech republic
8317,netaccess srl
8318,cemex espana s.a.
8319,nethinks gmbh
8320,luckynet israel
8321,alarmix hungary
8322,tdc as
8323,metropolitan area network autonomous system
8324,south ural state university
8325,ooo freenet group
8326,educational users
8327,ixprime autonomous system
8328,saasplaza nederland b.v.
8329,ats-link - finital informatica
8330,lonap ltd.
8331,cronyx plus ltd
8332,unused was infonie
8333,nextra telekom gmbh customers
8334,2com co ltd.
8335,global one greece
8336,federal node of runnet in kemerovo state university
8337,private company gisp
8338,equant romania sa
8339,kabelsignal ag
8340,us-emb-kiev autonomous system
8341,ziggo b.v.
8342,ojsc rtcomm.ru
8343,private joint-stock company doris
8344,y42.net
8345,dsi autonomous system
8346,sonatel-as autonomous system
8347,isracom autonomous system
8348,sonera rus closed jsc
8349,state scientific research institute for informatisation
8350,ojsc vimpelcom
8351,as for planet ic gmbh
8352,iac isp
8353,intes autonomous system
8354,twinwave isp
8355,psinet europe
8356,neo-tel ltd.
8357,as for nextra hungary pronet-inc kft.
8358,gts hungary tavkozlesi ktf.
8359,mts ojsc
8360,allianz managed operations and services se
8361,ubisoft entertainment sa
8362,nordnet
8363,kocuni-as autonomous system
8364,pozman-com
8365,man-da.de gmbh
8366,cix ltd
8367,perytnet ltd
8368,belgian network solutions b.v.b.a
8369,intersvyaz-2 jsc
8370,aripps network
8371,business communication agency
8372,colt technology services group limited
8373,deutsche bank ag
8374,polkomtel sp. z o.o.
8375,kdd deutschland autonomous system
8376,jordan data communications company llc
8377,jsc peterlink
8378,dominet autonomous system
8379,cybernet ag german-wide network
8380,towarzystwo ubezpieczen na zycie europa spolka akcyjna
8381,metropolis srl
8382,irkutsk central telegraph autonomous system
8383,currency management corporation plc
8384,i.s.a.r netzwerke dienstleistungs gmbh
8385,uunet sweden
8386,vodafone net iletisim hizmetleri a.s
8387,t-systems austria gesmbh
8388,lambrakis press organization s.a.
8389,sabanci telekom a.s.
8390,interoute bulgaria jsco.
8391,knipp medien und kommunikation gmbh
8392,matrix and intertorg technologies autonomous system
8393,astel ojsc
8394,alfanett autonomous system
8395,east telecom isp autonomous system
8396,technical chamber of greece
8397,njet.net
8398,tver region center of informatization
8399,risc group it solutions s.a.
8400,telekom srbija a.d.
8401,mailbox internet186k uk network
8402,ojsc vimpelcom
8403,spotify ltd
8404,upc cablecom gmbh
8405,pe sontheimer bernd
8406,vialtus solutions ltd.
8407,netmatters uk network
8408,pixedia sa
8409,institute for information transmission problems
8410,llc novinvestrezerv
8411,state educational institution of higher professional education omsk state university
8412,t-mobile austria gmbh
8413,ritanet autonomous system
8414,international telecommunication union
8415,satko telekomunikasyon yonetimi a.s.
8416,infoline ltd.
8417,inter.euro.net hungary ltd.
8418,france telecom s.a.
8419,maxima managed services
8420,as basvurusu
8421,opal part of opal ltd
8422,netcologne as
8423,printer engineering srl
8424,go p.l.c.
8425,tvnet autonomus system
8426,claranet ltd
8427,maginfo jsc
8428,com-net autonomous system
8429,tiks autonomous system
8430,complex service company llc
8431,tea internet service provider
8432,c-dedie internet services
8433,exxonmobil internet operations
8434,telenor sweden
8435,lloyds banking group plc
8436,upc magyarorszag kft.
8437,uta.at backbone
8438,hetman soft as
8439,aist autonomous system
8440,snc autonomus system
8441,garant service moscow russia
8442,dig digitale medienberatungs- und produktions- gmbh
8443,ojsc rostelecom
8444,21st century net autonomous system
8445,salzburg ag autonomous system
8446,austria
8447,a1 telekom austria ag
8448,telenor hungary telecommunications plc.
8449,join venture company elcat
8450,fachhochschule worms
8451,verisat autonomous system
8452,te-as
8453,econis ag
8454,fmo flughafen muensterosnabrueck gmbh
8455,schuberg philis b.v.
8456,bogazici university autonomous system
8457,abcnet autonomous system
8458,blue net sc as number
8459,netia autonomous system
8460,pe nikonov evgeniy vitalevich
8461,trade-express inc.
8462,tarr kft.
8463,societa per i servizi bancari - ssb s.p.a.
8464,wireless maingate nordic as
8465,tu-varna technical university of varna
8466,bilkent
8467,bilkent
8468,entanet international limited
8469,pironet ndh ag
8470,cjsc macomnet
8471,rosnet
8472,british telecommunications plc
8473,bahnhof internet ab
8474,riscom as
8475,state educational institute of higher professional education bashkirskiy state unive
8476,bvdep autonomous system
8477,zts echostar studio poznan poland
8478,gig networks as
8479,sgn97
8480,state educational institution of higher education state aviation technical universit
8481,transnet internet services gmbh
8482,marinform internet services
8483,claranet benelux b.v.
8484,keiberg zaventem belgium
8485,samsc ras
8486,baltnetos komunikacijos uab
8487,phibee phibee telecom as
8488,escortnet s autonomous system
8489,edv beratung mersberger
8490,drustvo za telekomunikacije verat d.o.o bulevar vojvode misica 37
8491,business sviaz inc.
8492,obit telecommunications st.petersburg russia
8493,upc cablecom gmbh
8494,as for decathlon
8495,internet ag global network
8496,alesta ltd
8497,transeo
8498,cityline
8499,space hellas s.a.
8500,nizny novgorod telephone service
8501,pionier national research and education network in poland
8502,ccc autonomous system
8503,pcnet data network s.a.
8504,nevalink autonomous system
8505,tr.net orta dogu yazilim hizmetleri a. s.
8506,institution of russian science academy of irkutsk scientific centre of siberian depa
8507,lanit autonomous system
8508,silweb autonomous system - academic
8509,altec telecoms sa
8510,tomsk town educational and scientific network
8511,asiainfo te
8512,as for the sulinet project hungary
8513,skyvision global networks ltd
8514,upc austria gmbh
8515,dataforce
8516,telianet lithuania
8517,ulaknet-asn
8518,radio free europe
8519,esa opsnet-intranet
8520,systemberatung axel dunkel gmbh
8521,fachhochschule fulda germany
8522,foundation for research and technology hellas
8523,basefarm ab. stockholm - sweden
8524,aucegypt autonomous system
8525,council edv- und management-
8526,tdc solutions as
8527,internet fr
8528,renault autonomous system
8529,oman telecommunications company - omantel
8530,excell group plc
8531,uni-sb autonomous system
8532,telianet ecuador
8533,netstate communications
8534,informatika a.d.
8535,agora tc sp.z.o.o.
8536,qwertynet - public internet access provider
8537,ural networks service autonomous system
8538,ilink ltd.
8539,united music s.r.l.
8540,ascus telecom gmbh
8541,aidatanet s autonomous system
8542,bkk fiber as
8543,unused astra associates limited as
8544,primetel plc
8545,crowley data poland sp. z.o.o.
8546,your communications ltd
8547,styria it solutions gmbh co kg
8548,net northwest
8549,lufthansa systems infratec gmbh
8550,lonap ltd.
8551,bezeqint internet backbone
8552,dnepropetrovsk core router
8553,avensys networks ltd
8554,tas france
8555,fx internet sa
8556,infolite ag
8557,zao elkatel
8558,httpool d.o.o.
8559,kabelplus ag
8560,11 internet ag
8561,knipp medien und kommunikation gmbh
8562,a1 telekom austria ag
8563,ojsc vimpelcom
8564,raiffeisen verband suedtirol
8565,bluegix
8566,dino systems ltd
8567,european telecommunications standards institute
8568,ojsc long distance and international
8569,metro ag
8570,ojsc rostelecom
8571,pardis ettela resaan sepehr
8572,racl internet services
8573,internet hellas autonomous system
8574,trans-ts autonomous system
8575,winweb international limited
8576,cable wireless uk p.u.c.
8577,rackage ltd
8578,vr netze gmbh
8579,magyar telekom plc.
8580,cjsc comstar-regions
8581,university of ioannina
8582,xenna services gmbh
8583,info link s.r.l.
8584,netvision 013 barak - barak network
8585,crnogorski telekom a.d.podgorica
8586,talktalk communications limited
8587,infracom b.v.
8588,abra s.a.
8589,autonomous system of
8590,bayerische motoren werke aktiengesellschaft
8591,amis
8592,research and production firm imt-center ooo
8593,global one czech republic
8594,ojsc rostelecom
8595,autonomous system of westcall ltd
8596,hotze.com gmbh
8597,ic-isu autonomous system
8598,bruxelles
8599,state educational institution of higher professional education ulyanovsk state unive
8600,tula state university
8601,telnet ltd. automnomous system
8602,compaq emea
8603,quarta autonomius system
8604,academy network solution as
8605,university of latvia and lanet
8606,chita region
8607,timico ltd autonomous system
8608,espritxb b.v.
8609,universidade catolica portuguesa
8610,marco doetsch
8611,athens university of economics and business
8612,tiscali italia s.p.a.
8613,icm netserv ltd
8614,itc institutul pentru tehnica de calcul sa
8615,ojsc central telegraph
8616,brouwer ict services
8617,university of the aegean
8618,ionion university
8619,garant-service krasnoyarsk
8620,tempest a.s. autonomous system number
8621,backbone limited
8622,namesco limited
8623,nizhny novgorod state university
8624,tenue oy
8625,netforce group ltd
8626,r.i.t.a. authonomous system
8627,mixx.de
8628,dreamteam internet project management
8629,mcntt autonomous system
8630,fedaral state educational institution of higher professional education chuvash state
8631,routing arbiter for moscow internet exchange
8632,luxembourg online s.a.
8633,university of warsaw icm
8634,solaris autonomous system
8635,hp-brinx automonous system
8636,autonomous system for
8637,dpi autonomous system
8638,versatel deutschland gmbh
8639,suratnet s autonomous system
8640,zurich-ch-as
8641,llc nauka-svyaz
8642,b2 bredband ab
8643,academic and research network in the region
8644,scarlet belgium
8645,business informational systems technology ltd.
8646,scobs connect autonomous system
8647,exfloyt llc
8648,kamp netzwerkdienste gmbh
8649,zexotek it-services gmbh
8650,talkline gmbh internet division
8651,mitsubishi ufj securities international plc
8652,datas ag
8653,actalis s.p.a.
8654,crimeainfocom as
8655,adjacent networks
8656,telstra limited
8657,cprm autonomous system
8658,site company autonomous system
8659,united nations international computing centre
8660,matrix s.p.a.
8661,ptk ipmpls network
8662,joint-stock company lenenergo
8663,state educational institution of higher education kuban state university
8664,university of warsaw icm
8665,accesspeople gmbh
8666,it department of the mav company
8667,switzerland
8668,telone zimbabwe pl
8669,total web solutions ltd
8670,utic as20
8671,verizon italia spa
8672,orbitel ead
8673,businessonline ag
8674,netnod internet exchange sverige ab
8675,ojsc rostelecom
8676,prt systems ltd
8678,ankara universitesi rektorlugu
8679,swan a.s.
8680,cable wireless channel island network
8681,jt limited
8682,ukip limited
8683,nominet uk
8684,state educational institution of higher professional education perm state university
8685,doruk iletisim ve otomasyon sanayi ve ticaret a.s.
8686,system online ltd
8687,pelikan partner
8688,techno link autonomous system
8689,power internet ltd.
8690,alkar teleport communications network
8691,rinet-turbo
8692,bundesrechenzentrum gmbh
8693,azov information company ltd
8694,rotterdamse electrische tram n.v.
8695,webdoor - content and service provider
8696,invitel tavkozlesi zrt.
8697,jordan telecom
8698,nationwide building society
8699,ma-kom ltd.
8700,technological educational institute (t.e.i.) of larissa
8701,orgland information system of eurointersoft ltd.
8702,posten ab
8703,hp-ch autonomous system
8704,state educational institution of higher professional education south ural state univ
8705,turk nokta net autonomous system
8706,llc volga-dnepr airlines
8707,marketweb autonomous system
8708,rcs rds s.a.
8709,cable wireless uk p.u.c.
8710,prizmanet autonomous system
8711,magistral autonomous system
8712,pe bystrov v.n.
8713,mlifenet autonomous system
8714,for use with the linx route servers
8715,ernst young nederland
8716,ixguardian ltd
8717,spectrum net jsc
8718,datastream international
8719,dnepropetrovsk national university of oles gonchar
8720,aspan telecom as number
8721,hurriyet
8722,pro.net.
8723,integra france
8724,microlink latvia autonomous system
8725,netpozitif telekomunikasyon hizmetleri ltd. sti.
8727,adacta d.o.o.
8728,as infonet
8729,credit suisse group
8730,krasu autonomous system
8731,sgh mbh internet division
8732,as for moscow telecommunication corporation
8733,telenet n.v.
8734,dzi obshto zastrahovane
8735,atos information technology gmbh
8736,grapes network services
8737,kpn internet solutions
8738,israel credit cards ltd
8739,icdsoft ltd
8740,keops infocentre
8741,ratiokontakt gmbh
8742,akbank tas
8743,vialtus solutions ltd.
8744,starttelecom.ru
8745,basnet autonomous system bulgaria
8746,caisse des depots
8747,dial telecom a.s.
8748,blekinge tekniska hogskola
8749,redcom khabarovsk russia
8750,profi.net usa
8751,media sat srl
8752,oao asvt
8753,mediateleset ltd.
8754,sicilia on line autonomous system
8755,ojsc vimpelcom
8756,radio-msu as
8757,general computer systems ltd
8758,iway ag
8759,it center aka leosoft
8760,energis ireland backbone network
8761,ono as clientes
8762,technological educational institute of crete
8763,denic eg
8764,teo lt ab autonomous system
8765,teleweb comunicacoes interactivas sa.
8766,szkola glowna handlowa w warszawie
8767,m-net as
8768,worldcom s.p.a.
8769,calcol informatica s.r.l.
8770,linkserve limited autonomous system
8771,yunet international d.o.o.
8772,pp legal center rider
8773,ojsc vimpelcom
8774,etype company kaliningrad russia
8775,institute of continuous media mechanics
8776,ans uk peering as
8777,koc net
8778,slovanet a.s.
8779,khmelnitskinfocom ltd
8780,caen lix
8781,qatar telecom q.s.c.
8782,gigabell hispania
8784,prosodie
8785,astra associates ltd
8786,telenor norge as
8787,thales information systems gmbh
8788,adamant co.
8789,novosco limited
8790,petrozavodsk state university
8791,deutsche morgan grenfell uk
8792,axel springer ag
8793,thinxx gmbh
8794,frankfurter allgemeine zeitung
8795,radio telecommunications company ltd. mobikom
8796,calligrafix autonomous system
8797,intersvyazsputnik company system
8798,powszechna agencja informacyjna pagi s.a.
8799,21 imcn - ip service provider
8800,tvk ltd.
8801,autonomous system of darest informatic
8802,thomson reuters
8803,migros-genossenschafts-bund
8804,regio.net holding gmbh bahnhofstr. 8 36157 ebersburg
8805,isc internet service center gmbh
8806,rnc services and internet exchange point
8807,tiscali denmark autonomous system
8808,intech autonomous system
8809,ogilvy mather reklamcilik
8810,telecommunication services bureau
8811,limited liability company tanaid
8812,nokia mobile phones
8813,dcs ltd.
8814,azerin
8815,boydak holding a.s.
8816,consorzio metrolink
8817,kc okho autonomous system
8818,tele greenland
8819,metro internet sp. z o.o.
8820,tal.de klaus internet service gmbh
8821,wwz telekom ag
8822,win.net s.r.l.
8823,rockenstein ag
8824,broadnet portugal
8825,nursat regions
8826,siemens autonomous system
8827,celsa it services sa
8828,jsc electrosvyaz of buryatia republic
8829,phpoy ipp as
8830,unet-mkd autonomous system
8831,finansbank a.s.
8832,netvoice data security og
8833,as8833 is operated by
8834,urzad miasta rzeszowa - resman
8835,might ltd
8836,kdd france autonomous system
8837,telianet peru
8838,stripe21 limited.
8839,sdv plurimedia
8840,bt internet services
8841,vizada networks as
8842,pims uk ltd
8843,finecom telecommunications ag
8844,ci-net limited as
8845,firstquote network services
8846,telecommunication center ostankino
8847,cjsc telecomm technology
8848,zao center of financial technologies
8849,jsc datalogika
8850,centre for civil-military relations
8851,edge telecom ltd
8852,qsc ag - formerly ginko gmbh
8853,public joint-stock company hotel complex orlyonok
8854,prague acad. network
8855,promo.it srl
8856,ukrnet ltd
8857,energy autonomous system
8858,soft internet provider
8859,osn online service nuernberg gmbh
8860,dir.bg ad
8861,easynet nederland b.v.
8862,triaton gmbh
8863,kyrnet telecommunication center
8864,qsc ag niederlassung bremen
8865,politechnika bialostocka
8866,bulgarian telecommunication company plc.
8867,government of israel
8868,as number
8869,simnet telekomunikasyon sanayi ve ticaret ltd sti.
8870,operator of virtual data computing llc
8871,csi limited
8872,international business bank
8873,tele2 sverige ab
8874,as for ferri
8875,sinma gmbh
8876,global one turkey ip network
8877,powernet ltd
8878,nfon ag
8879,dts-systeme autonomous system
8880,aiicapital it network
8881,versatel deutschland gmbh
8882,comtat inc. autonomous system
8883,switzerland
8884,crif s.p.a.
8885,lambdanet as for access customers
8886,polish electroenergetic networks
8887,tesatel s.r.o.
8888,comtat inc. autonomous system
8889,innovate software ltd
8890,university of warsaw
8891,as for echo
8892,uab skylink lt
8893,artfiles new media gmbh
8894,nice systems ltd.
8895,king abdul aziz city for science and technology
8896,netpower int as
8897,kcom group plc
8898,roche diagnostics gmbh
8899,inexio informationstechnologie und telekommunikation kgaa
8900,global one hungary internet and extranet provider network
8901,moscow mayor s office
8902,internet for business limited
8903,bt espana compania de servicios globales de telecomunicaciones s.a.
8904,cbrf autonomous system
8905,digit one llc
8906,m2m telematika ltd
8907,netia tpnet transit
8908,as for wargny
8909,state educational institution of higher professional education amur state university
8910,netalia internet ltd.
8911,rino ciotta (p.e.)
8912,group nbt plc
8913,mopos communications a.s.
8914,eircom multimedia transit network
8915,company delfa co. ltd.
8916,portfast ltd
8917,stiri media grup srl
8918,carrier1 autonomous system
8919,canad systems internet
8920,vostoktelecom autonomous system
8921,oc3 network
8922,t.net s.p.a.
8923,relsoft autonomous system
8924,internetia sp. z.o.o.
8925,teuto.net netzdienste gmbh
8926,moldtelecom se
8927,vestelnet online communications
8928,interoute communications limited
8929,ayscough travel
8930,mediafax sa
8931,moldpac s.a.
8932,icon communications cjsc
8933,geant ipv6 test programme
8934,national information technology center
8935,intouch n.v.
8936,krasnodar public multiprotocol network autonomous system
8937,vse net gmbh
8938,energis polska sp. z.o.o.
8939,adtech ag
8940,tiscover gmbh
8941,n. p. ogarev s mordovian state university
8942,focus information limited
8943,jump networks ltd.
8944,alepo technolgies ltd
8945,scanandtarget network
8946,grid9 internet solutions autonomous system
8947,anadolubank a.s. www.anadolubank.com.tr
8948,rerif_entreprise autonomous system
8949,dk mattocks ltd
8950,logicalis uk limited
8951,hellasnet
8952,ntt europe autonomous system
8953,orange romania sa
8954,intouch n.v.
8955,arcon autonomous system
8956,internet fuer schueler
8957,broadnet mediascape dsl services ag
8958,soda club ltd.
8959,emirates internet exchange gte peer router
8960,emirates internet exchange uunet peer router
8961,emirates telecommunications corporation
8962,centrum obslugi kancelarii prezesa rady ministrow
8963,intracom s.a information technology and communication services
8964,sky.n ltd.
8965,polska online autonomous system
8966,emirates telecommunications corporation
8967,internet service ltd.
8968,bt italia s.p.a.
8969,netfab gmbh
8970,wrocman-edu educational part of wask network wroclaw poland
8971,atos it solutions and services gmbh
8972,intergenia ag
8973,kungliga tekniska hogskolan
8974,commercial bank european trust bank
8975,claranet france
8976,streamwide romania srl
8977,madhouse net uk autonomous system
8978,the holy see - vatican city state
8979,telia multinet
8980,maki s.r.l.
8981,state educational institution of higher professional education voronezh state univer
8982,sonet doo skopje
8983,alcatel
8984,internet5 ab
8985,ripndns-resolver
8986,uab ekvitula isp
8987,amazon expansion
8988,jsc magelan moscow russia
8989,mira internetsolutions aps
8990,antenna hungaria magyar musorszoro es radiohirkozlesi zartkoruen mukodo reszvenytars
8991,imbc autonomous system
8992,t-mobile austria gmbh
8993,upnet ab as number
8994,hlc telecomunicacoes e multimedia as
8995,lm jogback datakonsult
8996,tele2 sverige ab
8997,ojsc rostelecom
8998,transit telecom ltd. tyumen russia
8999,axinet communication sarl
9000,eser telekom
9001,a1 investicijsko upravljanje d.d.
9002,retn.net autonomous system
9003,altitude telecom sas
9004,net communications autonomus system
9005,dnttm autonomous system
9006,zao giproenergoprom
9007,dumrath fassnacht kg
9008,visual online s.a.
9009,m247 ltd
9010,unitymedia
9011,mipex.net
9012,eunet lithuania - autonomous system
9013,knoware autonomous system
9014,cefas
9015,dntis autonomous system
9016,krakowski bank spoldzielczy
9017,internet danmark aps
9018,missing-link autonomous system
9019,solyn solutions uk ltd
9020,fraunhofer iese institut experimentelles software engineering
9021,is net elektonik bilgi uretim dagitim ticaret ve iletisim hizmetleri a.s.
9022,twl-kom gmbh
9023,oesterreichische lotterien gmbh
9024,dravanet co ltd.
9025,six group services ag
9026,utility line italia s.r.l.
9027,hh networks
9028,medianet ltd
9029,icor
9030,teuto.net netzdienste gmbh
9031,edpnet
9032,educational network ltd.
9033,european commercial internet exchange
9034,wind telecomunicazioni spa
9035,wind telecomunicazioni spa
9036,neuronnexion
9037,new enterprises technology s.r.l.
9038,batelco jordan
9039,iiat autonomous system
9040,garry glendown
9041,russian state vocational pedagogical university
9042,six group services ag
9043,pilot networks services uk autonomous system
9044,bse software gmbh
9045,tele2 sverige ab
9046,tele2 sverige ab
9047,tele2 europe
9048,freedot net
9049,cjsc er-telecom holding
9050,romtelecom s.a
9051,inconet data management sal
9052,unidad editorial s.a.
9053,network image s.r.o.
9054,tele2 europe
9055,uunet ireland autonomous system
9056,joint supercomputer center of the russian academy of sciences
9057,level 3 communications
9058,chartwell telecom ltd riga
9059,amazon.com
9060,nextage gmbhs
9061,tele2 europe
9062,verizon switzerland ag
9063,vse net gmbh
9064,iiruc - digicom grup sa
9065,robeco groep nv
9066,bcc gmbh
9067,one4vision gmbh
9068,as for moscow telecommunication corporation
9069,technological educational institute of athens
9070,itd network bulgarian isp
9071,orbotech ltd.
9072,nefkom
9073,future internet gmbh
9074,koc sistem bilgi ve iletisim hizmetleri anonim sirketi
9075,recoletos compania editorial
9076,init srl
9077,institution of russian academy of sciences ufa scientific centre ran
9078,sibirskie innovacionnye sistemy ltd
9079,firstnet
9080,ipexgin autonomous system
9081,b92-net autonomous system
9082,etel company inc.
9083,carpenet information technologies gmbh
9084,goldman sachs international ulc
9085,supermedia sp.z.o.o.
9086,qi comm ltd
9087,dynamic network technologies moldova
9088,dalarna university
9089,alto network
9090,oit-as
9091,hansabank latvia
9092,open systems ag
9093,agonet
9094,bt espana compania de servicios globales de telecomunicaciones sa
9095,istanbul teknik universitesi
9096,timber hill ag
9097,telnet hungary ltd.
9098,as for france telecom hebergement
9099,finanz informatik gmbh co. kg
9100,aspectra ag
9101,odn ch
9102,plexia s.p.a.
9103,as dedicated to educational users
9104,clio s.r.l.
9105,tiscali uk
9106,cable i tv de catalunya
9107,cjsc internet of siberia
9108,abraxas informatik ag
9109,madge networks
9110,amt group telecom limited liability company
9111,state educational institution of higher professional education saratov state univers
9112,pozman-edu
9113,vlant ltd.
9114,tyumen sate oil and gas university
9115,internet names for business
9116,012 smile communications main autonomous system
9117,cellcom israel ltd.
9118,portugal
9119,softnet d.o.o.
9120,surftown as
9121,turk telekomunikasyon anonim sirketi
9122,technoelektroservis ltd.
9123,ooo timeweb
9124,federal state educational institution of higher professional education russian state
9125,drustvo za telekomunikacije orion telekom doo beograd gandijeva 76a
9126,colt technology services group limited
9127,netissat
9128,alpha bank sa
9129,uunet kenya
9130,llc managing company hydraulic machines and systems
9131,chp uspekh
9132,qsc ag former broadnet ag hamburg
9133,wish-noknok autonomous system
9134,federal goverment entity for scientific center on expertise of medical application p
9135,itemax gmbh
9136,wobcom gmbh - www.wobcom.de
9137,uno communications s.p.a.
9138,telecom europe sat gmbh
9139,cypix
9140,peter adam duisburg germany
9141,upc polska sp. z o.o.
9142,netline uk ltd
9143,ziggo b.v.
9144,petrolink
9145,ewe tel gmbh
9146,bh telecom d.d. sarajevo
9147,ntt france autonomous system
9148,net4net a.s.
9149,groupement des cartes bancaires cb
9150,ml consultancy
9151,net one sa
9152,megadat autonomous system
9153,burstfire networks limited
9154,trio vav ltd.
9155,qualitynet general trading contracting co.
9156,bbc internet services transit as
9157,the special astrophysical observatory of
9158,telenor as
9159,as for credit agricole
9160,rokura srl
9161,poundbury systems ltd.
9162,tstunet autonomous system
9163,cet teleport gmbh
9164,fop styopin vyacheslav evgenovich
9165,prosodie iberica sl
9166,hostit nv
9167,webpartner as is a danish internet service provider
9168,telino network as number
9169,callnet plc
9170,roehm gmbh chemische fabrik
9171,novasol as
9172,macedonia on-line
9173,whitebird new media as
9174,trans-it ag
9175,verlagsgruppe handelsblatt
9176,top edge engineering s.r.l.
9177,mezhdurechensk factory of radio equipment repair ltd
9178,foundation of the hellenic world
9179,knowtion ltd.
9180,alienor.net autonomous system
9181,gruner jahr ag co kg
9182,autonomous system from
9183,robert bosch gmbh
9184,netplus ltd
9185,altair cjsc
9186,onitelecom autonomous system
9187,swan a.s.
9188,infoserve gmbh
9189,netaachen gmbh
9190,maxitelcom sa
9191,newnet plc autonomous system peers
